Sl No,Date,URL,Review_Title,Author,Rating,Review_text,Review_helpful
5703,on 8 December 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=53,Excellent Product and Excellent Service from Amazon.,Abhirav Kushwaha,5.0 out of 5 stars,Reviews for this product has been good. Only con is motor makes a lot of noise due to its high power.I ordered this product in the evening and got it delivered at 8 am next morning. I love Amazon :),|Was this review helpful to you?YesNo
5704,on 7 December 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=53,Good build quality,Satish Annigeri,4.0 out of 5 stars,Good build quality. Coupler between the jars and grinder designed such a way that any water leaking from jars will never enter the motor. A very good product.,|Was this review helpful to you?YesNo
5705,on 6 December 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=53,Five Stars,nkj2079,5.0 out of 5 stars,Working great. Good performance,|Was this review helpful to you?YesNo
5706,on 27 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=53,Four Stars,elizabeth sandvik,4.0 out of 5 stars,the smallest jar could be a little bigger,|Was this review helpful to you?YesNo
5707,on 26 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=53,Nice product in low budget,Pravin,4.0 out of 5 stars,Nice & Compact design. Easy to use. Grinding quality is good. Design of jars is good with strong steel. Overall great product.,|Was this review helpful to you?YesNo
5708,on 26 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=53,do not recommend to,surya prakash reddy,2.0 out of 5 stars,"cheap quality plastic used.low quality steel jars ,do not recommend to others",|Was this review helpful to you?YesNo
5709,on 24 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=53,Five Stars,Azam Khan,5.0 out of 5 stars,"Good Grinder, Delivered at time as promised.",|Was this review helpful to you?YesNo
5710,on 23 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=54,Very low product quality,P S Gulati,1.0 out of 5 stars,"Small jar - meant for wet chutney ,was leaking from lid, very poor quality sealing gasket.Big jar's Handle broke-off during the very first use of it.It reflects very bad on such highly rated MNC , just to bring down the cost they outsource manufacturing without quality control.","|
      46 people found this helpful.
    
  Was this review helpful to you?YesNo"
5711,on 22 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=54,Four Stars,suresh ghanshani,4.0 out of 5 stars,Nice item,|Was this review helpful to you?YesNo
5712,on 20 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=54,The only review you'll need to read.,Siddharth Singh,5.0 out of 5 stars,"It's a mixer grinder. It does what it says on the box and does it well. The 750 watt power adds a good punch. The parts fit each other very smoothly and snugly and there seems to be no need to hold down the jars while the machine is in use. Of course, with as much power there will be the noise factor, but if you have endured any hardships in life then you'd probably not complain about such petty stuff. I have not put this machine through any endurance tests, but for my needs - mostly juices and chutneys - this machine far exceeds the intention of it's form and function. Overall, I have found this product to be of great value for it's price. There were no shipping delays, and the order was received in perfect conditions. The only botheration that was endured was in giving directions to the delivery guy who just didn't seem to understand that he was in fact standing in front of my house.",|Was this review helpful to you?YesNo
5713,on 20 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=54,Three Stars,Madhu,3.0 out of 5 stars,it's a good one,|Was this review helpful to you?YesNo
5714,on 19 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=54,I have a complained regarding the produuct. I opened ...,Dr Deepa Rawal,1.0 out of 5 stars,"I have a complained regarding the produuct .I opened the pack after 7 days of delivery as i was not in town ,It was defective.I have to complaint in philips to get it rectified last 7 days the issue has not been resolved..I am finding no way to lodge my complaint on Amazon","|
      4 people found this helpful.
    
  Was this review helpful to you?YesNo"
5715,on 17 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=54,Excellent product,Paramjit S.,5.0 out of 5 stars,"Excellent product by philips and specially thanks to amazon. I studied many mixer grinders online , at last i found this product to be perfect. I think there is no better mixer grinder than this for homely use","|
      One person found this helpful.
    
  Was this review helpful to you?YesNo"
5716,on 15 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=54,Four Stars,deepak kumar,4.0 out of 5 stars,"good product,,,,,,,,,,,,,,really good because its performance is outstanding of my expectation",|Was this review helpful to you?YesNo
5717,on 15 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=54,Three Stars,abhilash Verma,3.0 out of 5 stars,Not same finesh as photo,|Was this review helpful to you?YesNo
5718,on 15 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=54,Loving Philips,Jhanak,5.0 out of 5 stars,Best mixer from Philips. Superior product.Grinding is fast and fine.Very good packaging and delivery.Highly recommended,|Was this review helpful to you?YesNo
5719,on 14 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=54,Very good product. The motor is really powerful,Asish Thomas,5.0 out of 5 stars,Very good product. The motor is really powerful. My chutney was ready in seconds. Got a great deal too. The shipping was neither too fast nor too slow. It took 8 days to reach. But was in a good packing.,|Was this review helpful to you?YesNo
5720,on 13 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=55,Four Stars,manohar singh,4.0 out of 5 stars,up to expections,|Was this review helpful to you?YesNo
5721,on 12 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=55,Not a very satisfactory product,Siddharth,3.0 out of 5 stars,"The mixer makes a lot of noise. The bowls get very hot. Does not grind dry materials, like, black pepper, cardamom, etc. well.",|Was this review helpful to you?YesNo
5722,on 12 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=55,Satisfied.,Gaurav Bhargava,5.0 out of 5 stars,Perfect product to buy.. thx!,|Was this review helpful to you?YesNo
5723,on 12 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=55,Five Stars,Milind Sawant,5.0 out of 5 stars,GOOD PRODUCT FROM PHILIPS,|Was this review helpful to you?YesNo
5724,on 11 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=55,Five Stars,pradeep tiwari,5.0 out of 5 stars,Top quality product it is,|Was this review helpful to you?YesNo
5725,on 10 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=55,Four Stars,Abhirup Sarkar,4.0 out of 5 stars,Running well.,|Was this review helpful to you?YesNo
5726,on 10 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=55,Five Stars,Abhishek Jha,5.0 out of 5 stars,Nice product .....,|Was this review helpful to you?YesNo
5727,on 10 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=55,Five Stars,rakesh mehta,5.0 out of 5 stars,more then expectation. specially impressed its packing & delivery time & person.,|Was this review helpful to you?YesNo
5728,on 10 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=55,Five Stars,Navdeep Saboo,5.0 out of 5 stars,delivered as promised,|Was this review helpful to you?YesNo
5729,on 9 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=55,easy to clean But chatni jar is very small,Ravinder Saini,4.0 out of 5 stars,"Powerful machine, strong handle, easy to cleanBut chatni jar is very small. it leaks from capeven cap rubber fail to close cap tightly",|Was this review helpful to you?YesNo
5730,on 9 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=56,Nice item,APRATIM MAITY,4.0 out of 5 stars,Bought the product at Rs 2500/- .... Received in good condition ..... Functioning well,|Was this review helpful to you?YesNo
5731,on 5 November 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=56,Four knife jar always works better.,Sanjay Mittal,3.0 out of 5 stars,750 watt mixer grinder looks attractive but it sound more and has two side mixing / grinding knife in the Jar. Four knife jar always works better.,|Was this review helpful to you?YesNo
5732,on 31 October 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=56,A Good Product!!!,Venu Gopal,5.0 out of 5 stars,Its worth of money what you spent!!!,|Was this review helpful to you?YesNo
5733,on 31 October 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=56,Five Stars,Imran Husain Khan,5.0 out of 5 stars,Very nice product.,|Was this review helpful to you?YesNo
5734,on 30 October 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=56,Four Stars,Vasim A. Khatri,4.0 out of 5 stars,Very powerful and efficient mixer. I would have given 5 stars if it wouldn't have been so noisy.,|Was this review helpful to you?YesNo
5735,on 28 October 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=56,Worth it!,Sumanth Aramadi H R,4.0 out of 5 stars,Good product!,|Was this review helpful to you?YesNo
5736,on 27 October 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=56,Unhappy,Beena Jain,2.0 out of 5 stars,"Not good. Chutney Jar and Medium Jar has very loosed lids. it spills out while grinding. Called Philips executive for review. He gave a ""jugad"" solution... asked to boil the rubber in the lid/cap in hot water 2-3 times.Finally returned the product. As it stopped working after few days","|
      12 people found this helpful.
    
  Was this review helpful to you?YesNo"
5737,on 27 October 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=56,Four Stars,Piyush,4.0 out of 5 stars,Product as described and timely,|Was this review helpful to you?YesNo
5738,on 27 October 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=56,best product,Harish,5.0 out of 5 stars,Excellent product meets beyond expectations,"|
      One person found this helpful.
    
  Was this review helpful to you?YesNo"
5739,on 26 October 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=56,Four Stars,vishal,4.0 out of 5 stars,"Nice to have in kitchen, Good Look, material used is good, Just little bit noisy",|Was this review helpful to you?YesNo
5740,on 26 October 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=57,must buy,shyam kumar kohli,5.0 out of 5 stars,great high power motor does all kitchen function even crushing hard amlas,|Was this review helpful to you?YesNo
5741,on 25 October 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=57,Four Stars,BM Agarwal,4.0 out of 5 stars,Nice as expected.,|Was this review helpful to you?YesNo
5742,on 17 October 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=57,Five Stars,Rahul,5.0 out of 5 stars,Very nice Mixer Grinder...,|Was this review helpful to you?YesNo
5743,on 11 September 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=57,nice product comparing to price and simple and compact design ...,Dr. Sunil,4.0 out of 5 stars,nice product comparing to price and simple and compact design very suitable for regular use works betterlittle noise (of course mixer must have noise)the thickness of steel jar is less comparing to old one but most of brand uses this type,"|
      2 people found this helpful.
    
  Was this review helpful to you?YesNo"
5744,on 6 September 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=57,Five Stars,swathi,5.0 out of 5 stars,Very good product in best price. Thanks amazon,|Was this review helpful to you?YesNo
5745,on 18 August 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=57,Lid opens and mixing items splashes out when you grind ...,Vinodhini,1.0 out of 5 stars,Lid opens and mixing items splashes out when you grind even in speed 1. I returned the item within a week. Small jar capacity is very low. Go for Butterfly matchless.,"|
      3 people found this helpful.
    
  Was this review helpful to you?YesNo"
5746,on 29 July 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=57,Wouldn't advise,JJ,2.0 out of 5 stars,The smallest jar keeps opening while the grinding is on and causes havoc in my kitchen and it is not because I had filled it too much.  The other jars are okay. Would have expected something better from Philips.,"|
      16 people found this helpful.
    
  Was this review helpful to you?YesNo"
5747,on 26 July 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=57,amazon service good and reliable,saurabh,5.0 out of 5 stars,Powerful and solid build quality new design and very ease of use Philips is most trustable brand fastest service affordable than other local shops,|Was this review helpful to you?YesNo
5748,on 23 July 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=57,Good product,Dinesh Singh,2.0 out of 5 stars,"Nice look and designPowerful mooter3 Jars are good for multipurpose useTo much noise while usingBurning smell every useWhile overload auto cut did not do work and Rotator rubber is gone, looking for replacement.While using smallest jar to prepare chutney, if you hold lid lightly it will spill the chutney all over the kitchen :)","|
      2 people found this helpful.
    
  Was this review helpful to you?YesNo"
5749,on 8 July 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=57,Good Sturdy Piece,Kamlesh Gujaria,4.0 out of 5 stars,Strong and Sturdy material. Good enough for routine use.No regrets buying from Amazon.Lowest price on net for the best product.Searched at multiple places but no one could match the price of Philips HL 7720 750-Watt 3-Jar Mixer Grinder compared to Amazon,"|
      2 people found this helpful.
    
  Was this review helpful to you?YesNo"
5750,on 7 July 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=58,good product amazon delivery late,RAJEEV R PILLAI,4.0 out of 5 stars,The product is lookwise and functionally nice.It has the sound just like any other mixer(not silent ones).i had a sumeet mixer which had served me for past 14 years.now its time for its rest thats why i choose philips.Coming to it..its a decent built mixer..looks are also good..performance also good...jars are also nice..chutney jar is little smaller..its powerful...i have no complaint on the product..but delivery took 5 days..thats too much i feel...kindly let us have a new courier service because whatever tracking number that amazon provide for the ATS courier i was not able to track the same..each time they asked for numbers to be added with commas..no idea..the courrier took lots of time...please tie up with Blue dart or other companies...Thank you...,"|
      5 people found this helpful.
    
  Was this review helpful to you?YesNo"
5751,on 7 July 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=58,smells like rubber burning,poornima,2.0 out of 5 stars,Was very enthusiastic about the mixie until i put it to work. It smells like the rubber is burning the minute the mixie starts off. The smallest jar is just right for grinding some instant powders. However if you wish to make chutney - just two servings - its not enough. which complicates things and you have to use the bigger jar for this purpose. looks are sleek but functioning is not great. i would not recommend this product.,"|
      5 people found this helpful.
    
  Was this review helpful to you?YesNo"
5752,on 20 June 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=58,Value for Money,pavan,4.0 out of 5 stars,"I bought this from Amazon... Excellent service from Amazon.Pros: The Mixer is Excellent... Value for money... It looks cute and adjustable to any Kitchen... Built quality is good.Cons: The Motor sound is little high but manageable, Jars are smaller compared to other mixer jars and with Different shape.Finally its a good mixer in this price range... Worth It.","|
      6 people found this helpful.
    
  Was this review helpful to you?YesNo"
5753,on 19 June 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=58,Good for daily use,Ratan,4.0 out of 5 stars,"I have purchased through AMAZON for Rs.2600/-, I got delivery within 4 days  thanks to AMAZON.Value for money & great product with best features. Good for daily use & absolutely no complaints. Less noise compare to other brand.But chutney grinding jar very small ( 0.400 grms) compare to other brand.","|
      One person found this helpful.
    
  Was this review helpful to you?YesNo"
5754,on 9 June 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=58,good,Naga Venkata Mahesh Mannava,3.0 out of 5 stars,"Good Mixer grinder with some flawsPros: Good design, powerful motor, unique click lockcons: sound, jars lid quality, no jars locking systemoverall: it is a good mixer grinder but producing lot of noise. Jars lids locking system is not good, you have keep holding the lid when operating.","|
      One person found this helpful.
    
  Was this review helpful to you?YesNo"
5755,on 9 June 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=58,Excellent product,Renu,4.0 out of 5 stars,"Excellent for chutnies, blending, grinding etc. One flaw ,that lid does not lock, so one has to hold it while operation.",|Was this review helpful to you?YesNo
5756,on 7 June 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=58,Nice product,Basanta Kumar Moharana,5.0 out of 5 stars,Easy to use and very slow sound. looking also good and working efficiency. I love it. thanks philips for this nice product.,|Was this review helpful to you?YesNo
5757,on 3 June 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=58,ONE OF THE BEST IN INDUSTRY,NANDKUMAR VITHALRAO BELE,4.0 out of 5 stars,GREAT PERFORMER we are impressed by the performance of the Philips Mixer Grinder WE WENT BY THE REPUTATION OF THE COMPANY,|Was this review helpful to you?YesNo
5758,on 23 May 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=58,"Cpmpact , good looking",achal,4.0 out of 5 stars,Ordered this from Amazon. Got it with at Rs 2613.Order delivered at time with amazing packing.Gives a pungent burning smell on opearating with/without jars both.pros:Compactgood lookspowerfulCons:Burning slight smell on operating. others please share if you also face the same. (is it because its new),"|
      12 people found this helpful.
    
  Was this review helpful to you?YesNo"
5759,on 22 May 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=58,Got at a competitive price from Amazon compared to Reliance digital and Big Bazaar deals,NISHI HANDA,4.0 out of 5 stars,"Quite a tough machine, good looks, good performance, competitive price, much less compared to standard stores.  Worth buying from Amazon",|Was this review helpful to you?YesNo
5760,on 31 March 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=59,Phillips is Phillips,Amazon Customer,5.0 out of 5 stars,Got this from Amazon for 1945/-. Value for money & great product with best features. Good for daily use & absolutely no complaints.,|Was this review helpful to you?YesNo
5761,on 15 March 2014,https://www.amazon.in/Philips-750-Watt-Mixer-Grinder-Multicolour/product-reviews/B00HQZG41Q/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=59,it is good.,rakesh,5.0 out of 5 stars,i hope this product is good for kitchen Appliances so i like it and i suggest to buy this product.,|Was this review helpful to you?YesNo
5762,on 17 November 2017,https://www.amazon.in/Prestige-Hero-550-Watt-Mixer-Grinder/product-reviews/B00NW4TC6Y/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=1,Three Stars,Amazon Customer,3.0 out of 5 stars,if your are on budget definitely go for it. else browse.,|Was this review helpful to you?YesNo
5763,on 17 November 2017,https://www.amazon.in/Prestige-Hero-550-Watt-Mixer-Grinder/product-reviews/B00NW4TC6Y/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=1,One Star,Devakinath,1.0 out of 5 stars,Worked only for few days,|Was this review helpful to you?YesNo
5764,on 10 November 2017,https://www.amazon.in/Prestige-Hero-550-Watt-Mixer-Grinder/product-reviews/B00NW4TC6Y/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=1,Five Stars,sandhya n,5.0 out of 5 stars,Nice and worth,|Was this review helpful to you?YesNo
5765,on 9 November 2017,https://www.amazon.in/Prestige-Hero-550-Watt-Mixer-Grinder/product-reviews/B00NW4TC6Y/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=1,Four Stars,tapas,4.0 out of 5 stars,Good product,|Was this review helpful to you?YesNo
5766,on 2 November 2017,https://www.amazon.in/Prestige-Hero-550-Watt-Mixer-Grinder/product-reviews/B00NW4TC6Y/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=1,Nice product,Manoj,4.0 out of 5 stars,Nice product..,|Was this review helpful to you?YesNo
5767,on 27 October 2017,https://www.amazon.in/Prestige-Hero-550-Watt-Mixer-Grinder/product-reviews/B00NW4TC6Y/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=1,East and west amazon is the best.,dipankar laha,5.0 out of 5 stars,Aswm experience.Very fast delivered.Best quality mixture grinder.,|Was this review helpful to you?YesNo
5768,on 26 October 2017,https://www.amazon.in/Prestige-Hero-550-Watt-Mixer-Grinder/product-reviews/B00NW4TC6Y/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=1,Five Stars,Aman kushwaha,5.0 out of 5 stars,Very good product,|Was this review helpful to you?YesNo
5769,on 25 October 2017,https://www.amazon.in/Prestige-Hero-550-Watt-Mixer-Grinder/product-reviews/B00NW4TC6Y/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=1,Two Stars,Amazon Customer,2.0 out of 5 stars,Miss Match,|Was this review helpful to you?YesNo
5770,on 22 October 2017,https://www.amazon.in/Prestige-Hero-550-Watt-Mixer-Grinder/product-reviews/B00NW4TC6Y/ref=cm_cr_arp_d_viewopt_srt?showViewpoints=1&sortBy=recent&pageNumber=1,Not working,ARUSHI,1.0 out of 5 stars,We have purchased but now all the three JMG is not working..Kindly resolve at earliest,|Was this review helpful to you?YesNo
